query,impressions,clicks,cost,ctr,p_buyer,verdict
breeze pm pricing,410,26,104.12,6.34%,0.90,KEEP
breeze demo request,188,17,68.40,9.04%,0.94,KEEP
monday com alternatives,1240,41,188.60,3.31%,0.81,KEEP
asana vs clickup 2026,890,29,121.80,3.26%,0.64,KEEP
best project management software for small business,2100,55,275.00,2.62%,0.83,KEEP
project management tool free trial,760,31,142.60,4.08%,0.80,KEEP
what is kanban,3300,38,95.00,1.15%,0.10,NEGATIVE
agile vs waterfall,1850,21,61.90,1.14%,0.15,NEGATIVE
how do gantt charts work,940,12,30.00,1.28%,0.14,NEGATIVE
project management definition,4100,26,65.00,0.63%,0.08,NEGATIVE
project manager jobs remote,2200,19,52.25,0.86%,0.03,NEGATIVE
product manager salary 2026,1500,14,35.00,0.93%,0.03,NEGATIVE
breeze airways review,610,22,57.20,3.61%,0.03,NEGATIVE
breeze block sizes,85,3,6.15,3.53%,0.05,NEGATIVE
free movies online,290,2,3.40,0.69%,0.01,NEGATIVE
notion templates project management,1120,27,94.50,2.41%,0.33,WATCH
excel project management template free,1680,34,112.20,2.02%,0.33,WATCH
clickup pricing,980,36,173.08,3.67%,0.67,KEEP
cheapest team collaboration software,540,21,99.75,3.89%,0.78,KEEP
how to manage a small team,730,11,27.50,1.51%,0.16,NEGATIVE
what does a project manager do,1200,10,22.00,0.83%,0.06,NEGATIVE
smartsheet free alternative,430,18,79.20,4.19%,0.64,KEEP
trello vs breeze,95,7,29.05,7.37%,0.84,KEEP
project management certification online,870,15,37.50,1.72%,0.10,NEGATIVE
kanban board template,1050,22,70.40,2.10%,0.27,NEGATIVE
