episode,title,beat,cliffhanger,hook,cliffhanger_score,producibility,total,gate
1,THE VOICE ON 14 MEGACYCLES,Night shift. Dead frequency 14 crackles: an American mayday. Valya logs it against Section 7 — unlogged intercepts are treason. Korabelnikov demands the night log.,"He flips to her page: the entry is gone, a fresh ink smudge where it was. She wrote it. Who erased it?",3.15,3.19,3.87,10.21,ADVANCE
6,THE FATHER TAPE,Valya breaks down the mayday frame by frame: SEVEN-THREE's protocol errors are Soviet-trained. Someone on her side taught the American.,The instructor's call sign on the training tape is her father's.,2.72,3.74,3.72,10.18,ADVANCE
2,THE MISSING PAGE,The log page didn't vanish — it was taken: her own supervisor lifted it on Moscow's orders and burned it in the stove.,The supervisor is found dead at his desk. Headphones still on. The board lamp for 14 lit.,2.56,3.62,3.39,9.57,ADVANCE
5,MOONLIGHT SONATA,"Korabelnikov's real orders surface: not find the leak — close the frequency, forever. He offers Valya a trade: the truth about her father for the tape.","He plays her a recording: Pyotr Orlov's last transmission, 1953. The voice on it is not dying of weather.",2.26,3.64,3.65,9.55,ADVANCE
3,THE SECOND OPERATOR,Valya hunts the eraser; Riva was alone with the log. Confrontation becomes blackmail both ways: Riva heard it too — and answered.,"Riva plays her a scrap of tape: a woman's voice, Russian, on 14. 'That's not me. Ask your father.'",2.65,3.41,3.45,9.51,ADVANCE
11,THE LAST SHIFT,Evacuation night. Valya patches the archive field set into the Moscow trunk line: the dead speak to the Presidium's own switchboard.,A voice answers from Moscow. Not security. A woman: 'We have been waiting for this call. Patch me to your father.',3.11,3.78,2.52,9.41,ADVANCE
4,TWO TAPES,The mayday's coordinates match a cosmonaut who never flew. Valya makes a private copy of the tape and hides it in the headband crate.,The hiding spot is empty — and a second headset on the rack is still warm.,2.45,3.41,3.28,9.14,ADVANCE
9,TRAITOR'S WAVE,"Cornered, Riva confesses first: she has answered every mayday for eight months — a switchboard of the lost. She takes the fall for Valya's field set.","Riva, being led out, leaves her headset on the rack. Inside the earcup: the hiding-tape.",2.77,3.58,2.53,8.88,ADVANCE
7,DEAD AIR,"By order, the post goes dark: boards powered down, logs sealed, leave cancelled. Valya hand-cranks a buried field set in the old archive room.","Static clears. SEVEN-THREE, calm now: 'They told me you'd listen. Valya.'",2.34,3.67,2.77,8.78,HOLD
10,MOSCOW'S EAR,"Burn order: destroy the post, scatter the operators, salt the logs. Korabelnikov must choose — the order of the day, or the oath he swore in 1945.",He burns the post. And leaves one crate — the headband crate — by the gate.,2.41,3.26,3.06,8.73,HOLD
8,THE TRACING PARTY,A team arrives to triangulate the rogue transmitter Valya is secretly keeping alive. Korabelnikov stalls them with procedure.,The trace pins the transmitter — inside the perimeter. Inside the archive room.,2.57,3.41,2.18,8.16,HOLD
12,ONE FREQUENCY,The frequency is closed; the record is ash. Valya is reassigned to a dead-letter archive in Kazan and told to forget. Riva's charges quietly dropped; Korabelnikov promoted away.,"Her new desk. On it, one unlabeled tape, still warm from someone's pocket. 14 megacycles, her father's handwriting on the label.",1.02,3.11,3.13,7.26,HOLD
