query,page,clicks,impressions,ctr,expected_ctr,position,click_potential,own_page,action,recommendation
airpods pro case,/products/airpods-pro-case,68,4200,0.0162,0.045658,5.7,123.7,True,quick_win,"Strengthen intent match, internal links, and above-fold proof"
airpods charger replacement,/products/charging-cable,48,2600,0.0185,0.041812,6.1,60.6,True,quick_win,"Strengthen intent match, internal links, and above-fold proof"
airpods pro tips small,/products/ear-tips-small,31,1100,0.0282,0.063509,4.2,38.8,True,quick_win,"Strengthen intent match, internal links, and above-fold proof"
airpods pro foam tips,/products/foam-tips,36,1400,0.0257,0.050967,5.2,35.4,True,quick_win,"Strengthen intent match, internal links, and above-fold proof"
best airpods pro case,/collections/cases,18,5100,0.0035,0.010006,12.6,33.2,True,quick_win,"Strengthen intent match, internal links, and above-fold proof"
left airpod replacement,/parts/left-airpod,12,3100,0.0039,0.007037,14.2,9.7,True,quick_win,"Strengthen intent match, internal links, and above-fold proof"
how to clean airpods,/guides/cleaning,1,4400,0.0002,0.001,31.2,3.5,True,monitor,No deterministic action yet; keep monitoring
airpods pro replacement case,/products/airpods-pro-case,42,1800,0.0233,0.025208,8.4,3.4,True,quick_win,"Strengthen intent match, internal links, and above-fold proof"
airpod ear tips falling out,/guides/ear-tips-fit,5,2600,0.0019,0.002615,18.7,1.9,True,refresh,"Refresh/expand the page, add comparison schema, and build supporting links"
why do my airpods keep cutting out,/guides/cutting-out,2,3600,0.0006,0.001,28.4,1.4,True,refresh,"Refresh/expand the page, add comparison schema, and build supporting links"
airpods pro 2 case cover,/products/pro2-case-cover,4,2400,0.0017,0.001542,21.1,0,True,refresh,"Refresh/expand the page, add comparison schema, and build supporting links"
airpods pro warranty replacement,/guides/warranty,7,1900,0.0037,0.003558,17.3,0,True,refresh,"Refresh/expand the page, add comparison schema, and build supporting links"
