premise_id,persona,persona_label,context,angle,text,product_tension,passed_deterministic_filter,filter_reason
P01-01,absurdist,Absurdist,a crowded morning train,treats the product as an impossible civic institution,A crowded morning train appoints unbranded white wired earbuds as the only legal witness to a public argument about noise.,noise / clear calls and simple audio without wireless anxiety,,
P01-02,absurdist,Absurdist,a crowded morning train,extends one small audio annoyance into cosmic bureaucracy,A neighborhood board in a crowded morning train certifies unbranded white wired earbuds as the only object allowed to explain dead wireless batteries.,dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P01-03,absurdist,Absurdist,an open-plan office,treats the product as an impossible civic institution,An open-plan office appoints unbranded white wired earbuds as the only legal witness to a public argument about lost earbuds.,lost earbuds / clear calls and simple audio without wireless anxiety,,
P01-04,absurdist,Absurdist,an open-plan office,extends one small audio annoyance into cosmic bureaucracy,A neighborhood board in an open-plan office certifies unbranded white wired earbuds as the only object allowed to explain awkward calls.,awkward calls / clear calls and simple audio without wireless anxiety,,
P01-05,absurdist,Absurdist,a coffee shop with one broken table leg,treats the product as an impossible civic institution,A coffee shop with one broken table leg appoints unbranded white wired earbuds as the only legal witness to a public argument about social judgment.,social judgment / clear calls and simple audio without wireless anxiety,,
P01-06,absurdist,Absurdist,a coffee shop with one broken table leg,extends one small audio annoyance into cosmic bureaucracy,A neighborhood board in a coffee shop with one broken table leg certifies unbranded white wired earbuds as the only object allowed to explain noise.,noise / clear calls and simple audio without wireless anxiety,,
P01-07,absurdist,Absurdist,a kitchen where dinner is burning,treats the product as an impossible civic institution,A kitchen where dinner is burning appoints unbranded white wired earbuds as the only legal witness to a public argument about dead wireless batteries.,dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P01-08,absurdist,Absurdist,a kitchen where dinner is burning,extends one small audio annoyance into cosmic bureaucracy,A neighborhood board in a kitchen where dinner is burning certifies unbranded white wired earbuds as the only object allowed to explain lost earbuds.,lost earbuds / clear calls and simple audio without wireless anxiety,,
P01-09,absurdist,Absurdist,an airport gate with four delayed flights,treats the product as an impossible civic institution,An airport gate with four delayed flights appoints unbranded white wired earbuds as the only legal witness to a public argument about awkward calls.,awkward calls / clear calls and simple audio without wireless anxiety,,
P01-10,absurdist,Absurdist,an airport gate with four delayed flights,extends one small audio annoyance into cosmic bureaucracy,A neighborhood board in an airport gate with four delayed flights certifies unbranded white wired earbuds as the only object allowed to explain social judgment.,social judgment / clear calls and simple audio without wireless anxiety,,
P01-11,absurdist,Absurdist,a home office shared with a loud pet,treats the product as an impossible civic institution,A home office shared with a loud pet appoints unbranded white wired earbuds as the only legal witness to a public argument about noise.,noise / clear calls and simple audio without wireless anxiety,,
P01-12,absurdist,Absurdist,a home office shared with a loud pet,extends one small audio annoyance into cosmic bureaucracy,A neighborhood board in a home office shared with a loud pet certifies unbranded white wired earbuds as the only object allowed to explain dead wireless batteries.,dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P01-13,absurdist,Absurdist,a library that permits whispering only,treats the product as an impossible civic institution,A library that permits whispering only appoints unbranded white wired earbuds as the only legal witness to a public argument about lost earbuds.,lost earbuds / clear calls and simple audio without wireless anxiety,,
P01-14,absurdist,Absurdist,a library that permits whispering only,extends one small audio annoyance into cosmic bureaucracy,A neighborhood board in a library that permits whispering only certifies unbranded white wired earbuds as the only object allowed to explain awkward calls.,awkward calls / clear calls and simple audio without wireless anxiety,,
P01-15,absurdist,Absurdist,a sidewalk construction zone,treats the product as an impossible civic institution,A sidewalk construction zone appoints unbranded white wired earbuds as the only legal witness to a public argument about social judgment.,social judgment / clear calls and simple audio without wireless anxiety,,
P01-16,absurdist,Absurdist,a sidewalk construction zone,extends one small audio annoyance into cosmic bureaucracy,A neighborhood board in a sidewalk construction zone certifies unbranded white wired earbuds as the only object allowed to explain noise.,noise / clear calls and simple audio without wireless anxiety,,
P01-17,absurdist,Absurdist,a family video call with three people talking at once,treats the product as an impossible civic institution,A family video call with three people talking at once appoints unbranded white wired earbuds as the only legal witness to a public argument about dead wireless batteries.,dead wireless batteries / clear calls and simple audio without wireless anxiety,,
